company_name,industry,symbol,Series,isin,index_code,scrape_date
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,NIFTY50,2026-02-03
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,NIFTY50,2026-02-03
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,NIFTY50,2026-02-03
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NIFTY50,2026-02-03
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,NIFTY50,2026-02-03
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,NIFTY50,2026-02-03
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,NIFTY50,2026-02-03
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,NIFTY50,2026-02-03
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,NIFTY50,2026-02-03
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,NIFTY50,2026-02-03
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,NIFTY50,2026-02-03
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,NIFTY50,2026-02-03
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,NIFTY50,2026-02-03
Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,DUMMYHDLVR,EQ,DUM030A01027,NIFTY50,2026-02-03
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,NIFTY50,2026-02-03
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,NIFTY50,2026-02-03
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,NIFTY50,2026-02-03
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,NIFTY50,2026-02-03
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,NIFTY50,2026-02-03
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,NIFTY50,2026-02-03
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,NIFTY50,2026-02-03
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,NIFTY50,2026-02-03
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,NIFTY50,2026-02-03
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,NIFTY50,2026-02-03
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,NIFTY50,2026-02-03
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,NIFTY50,2026-02-03
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,NIFTY50,2026-02-03
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,NIFTY50,2026-02-03
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,NIFTY50,2026-02-03
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,NIFTY50,2026-02-03
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,NIFTY50,2026-02-03
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,NIFTY50,2026-02-03
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,NIFTY50,2026-02-03
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NIFTY50,2026-02-03
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NIFTY50,2026-02-03
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,NIFTY50,2026-02-03
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,NIFTY50,2026-02-03
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,NIFTY50,2026-02-03
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,NIFTY50,2026-02-03
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,NIFTY50,2026-02-03
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,NIFTY50,2026-02-03
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,NIFTY50,2026-02-03
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,NIFTY50,2026-02-03
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,NIFTY50,2026-02-03
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,NIFTY50,2026-02-03
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,NIFTY50,2026-02-03
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,NIFTY50,2026-02-03
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,NIFTY50,2026-02-03
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,NIFTY50,2026-02-03
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,NIFTY50,2026-02-03
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,NIFTY50,2026-02-03
