company_name,industry,symbol,Series,isin,index_code,scrape_date
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,NIFTYLARGEMIDCAP250,2026-02-03
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,NIFTYLARGEMIDCAP250,2026-02-03
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,NIFTYLARGEMIDCAP250,2026-02-03
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,NIFTYLARGEMIDCAP250,2026-02-03
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,NIFTYLARGEMIDCAP250,2026-02-03
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,NIFTYLARGEMIDCAP250,2026-02-03
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,NIFTYLARGEMIDCAP250,2026-02-03
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,NIFTYLARGEMIDCAP250,2026-02-03
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,NIFTYLARGEMIDCAP250,2026-02-03
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,NIFTYLARGEMIDCAP250,2026-02-03
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,NIFTYLARGEMIDCAP250,2026-02-03
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,NIFTYLARGEMIDCAP250,2026-02-03
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,NIFTYLARGEMIDCAP250,2026-02-03
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,NIFTYLARGEMIDCAP250,2026-02-03
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,NIFTYLARGEMIDCAP250,2026-02-03
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,NIFTYLARGEMIDCAP250,2026-02-03
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,NIFTYLARGEMIDCAP250,2026-02-03
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,NIFTYLARGEMIDCAP250,2026-02-03
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,NIFTYLARGEMIDCAP250,2026-02-03
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,NIFTYLARGEMIDCAP250,2026-02-03
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,NIFTYLARGEMIDCAP250,2026-02-03
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,NIFTYLARGEMIDCAP250,2026-02-03
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,NIFTYLARGEMIDCAP250,2026-02-03
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,NIFTYLARGEMIDCAP250,2026-02-03
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,NIFTYLARGEMIDCAP250,2026-02-03
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,NIFTYLARGEMIDCAP250,2026-02-03
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,NIFTYLARGEMIDCAP250,2026-02-03
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,NIFTYLARGEMIDCAP250,2026-02-03
