company_name,industry,symbol,Series,isin,index_code,scrape_date
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,NIFTYMIDCAP150,2026-02-03
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,NIFTYMIDCAP150,2026-02-03
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,NIFTYMIDCAP150,2026-02-03
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,NIFTYMIDCAP150,2026-02-03
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,NIFTYMIDCAP150,2026-02-03
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,NIFTYMIDCAP150,2026-02-03
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,NIFTYMIDCAP150,2026-02-03
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,NIFTYMIDCAP150,2026-02-03
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,NIFTYMIDCAP150,2026-02-03
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,NIFTYMIDCAP150,2026-02-03
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,NIFTYMIDCAP150,2026-02-03
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,NIFTYMIDCAP150,2026-02-03
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,NIFTYMIDCAP150,2026-02-03
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,NIFTYMIDCAP150,2026-02-03
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,NIFTYMIDCAP150,2026-02-03
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,NIFTYMIDCAP150,2026-02-03
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,NIFTYMIDCAP150,2026-02-03
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,NIFTYMIDCAP150,2026-02-03
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,NIFTYMIDCAP150,2026-02-03
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,NIFTYMIDCAP150,2026-02-03
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,NIFTYMIDCAP150,2026-02-03
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,NIFTYMIDCAP150,2026-02-03
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,NIFTYMIDCAP150,2026-02-03
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,NIFTYMIDCAP150,2026-02-03
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,NIFTYMIDCAP150,2026-02-03
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,NIFTYMIDCAP150,2026-02-03
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,NIFTYMIDCAP150,2026-02-03
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,NIFTYMIDCAP150,2026-02-03
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,NIFTYMIDCAP150,2026-02-03
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,NIFTYMIDCAP150,2026-02-03
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,NIFTYMIDCAP150,2026-02-03
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,NIFTYMIDCAP150,2026-02-03
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,NIFTYMIDCAP150,2026-02-03
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,NIFTYMIDCAP150,2026-02-03
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,NIFTYMIDCAP150,2026-02-03
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,NIFTYMIDCAP150,2026-02-03
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,NIFTYMIDCAP150,2026-02-03
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,NIFTYMIDCAP150,2026-02-03
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,NIFTYMIDCAP150,2026-02-03
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,NIFTYMIDCAP150,2026-02-03
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,NIFTYMIDCAP150,2026-02-03
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,NIFTYMIDCAP150,2026-02-03
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,NIFTYMIDCAP150,2026-02-03
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,NIFTYMIDCAP150,2026-02-03
