company_name,industry,symbol,Series,isin,index_code,scrape_date
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,NIFTYSMALLCAP100,2026-02-03
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,NIFTYSMALLCAP100,2026-02-03
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,NIFTYSMALLCAP100,2026-02-03
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,NIFTYSMALLCAP100,2026-02-03
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,NIFTYSMALLCAP100,2026-02-03
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,NIFTYSMALLCAP100,2026-02-03
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,NIFTYSMALLCAP100,2026-02-03
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,NIFTYSMALLCAP100,2026-02-03
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,NIFTYSMALLCAP100,2026-02-03
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,NIFTYSMALLCAP100,2026-02-03
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,NIFTYSMALLCAP100,2026-02-03
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,NIFTYSMALLCAP100,2026-02-03
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,NIFTYSMALLCAP100,2026-02-03
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,NIFTYSMALLCAP100,2026-02-03
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,NIFTYSMALLCAP100,2026-02-03
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024,NIFTYSMALLCAP100,2026-02-03
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,NIFTYSMALLCAP100,2026-02-03
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,NIFTYSMALLCAP100,2026-02-03
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,NIFTYSMALLCAP100,2026-02-03
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,NIFTYSMALLCAP100,2026-02-03
CESC Ltd.,Power,CESC,EQ,INE486A01021,NIFTYSMALLCAP100,2026-02-03
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,NIFTYSMALLCAP100,2026-02-03
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,NIFTYSMALLCAP100,2026-02-03
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,NIFTYSMALLCAP100,2026-02-03
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,NIFTYSMALLCAP100,2026-02-03
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,NIFTYSMALLCAP100,2026-02-03
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020,NIFTYSMALLCAP100,2026-02-03
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,NIFTYSMALLCAP100,2026-02-03
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,NIFTYSMALLCAP100,2026-02-03
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,NIFTYSMALLCAP100,2026-02-03
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,NIFTYSMALLCAP100,2026-02-03
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,NIFTYSMALLCAP100,2026-02-03
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,NIFTYSMALLCAP100,2026-02-03
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,NIFTYSMALLCAP100,2026-02-03
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,NIFTYSMALLCAP100,2026-02-03
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,NIFTYSMALLCAP100,2026-02-03
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,NIFTYSMALLCAP100,2026-02-03
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011,NIFTYSMALLCAP100,2026-02-03
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010,NIFTYSMALLCAP100,2026-02-03
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,NIFTYSMALLCAP100,2026-02-03
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014,NIFTYSMALLCAP100,2026-02-03
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,NIFTYSMALLCAP100,2026-02-03
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021,NIFTYSMALLCAP100,2026-02-03
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,NIFTYSMALLCAP100,2026-02-03
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,NIFTYSMALLCAP100,2026-02-03
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,NIFTYSMALLCAP100,2026-02-03
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,NIFTYSMALLCAP100,2026-02-03
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,NIFTYSMALLCAP100,2026-02-03
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,NIFTYSMALLCAP100,2026-02-03
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,NIFTYSMALLCAP100,2026-02-03
International Gemmological Institute (India) Ltd.,Services,IGIL,EQ,INE0Q9301021,NIFTYSMALLCAP100,2026-02-03
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,NIFTYSMALLCAP100,2026-02-03
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,EQ,INE572A01036,NIFTYSMALLCAP100,2026-02-03
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,NIFTYSMALLCAP100,2026-02-03
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,NIFTYSMALLCAP100,2026-02-03
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,NIFTYSMALLCAP100,2026-02-03
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,NIFTYSMALLCAP100,2026-02-03
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,NIFTYSMALLCAP100,2026-02-03
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,NIFTYSMALLCAP100,2026-02-03
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,NIFTYSMALLCAP100,2026-02-03
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,NIFTYSMALLCAP100,2026-02-03
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,NIFTYSMALLCAP100,2026-02-03
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,NIFTYSMALLCAP100,2026-02-03
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,NIFTYSMALLCAP100,2026-02-03
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,NIFTYSMALLCAP100,2026-02-03
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,NIFTYSMALLCAP100,2026-02-03
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,NIFTYSMALLCAP100,2026-02-03
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,NIFTYSMALLCAP100,2026-02-03
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,NIFTYSMALLCAP100,2026-02-03
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NIFTYSMALLCAP100,2026-02-03
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NIFTYSMALLCAP100,2026-02-03
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NIFTYSMALLCAP100,2026-02-03
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,NIFTYSMALLCAP100,2026-02-03
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,NIFTYSMALLCAP100,2026-02-03
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,NIFTYSMALLCAP100,2026-02-03
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,NIFTYSMALLCAP100,2026-02-03
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040,NIFTYSMALLCAP100,2026-02-03
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,NIFTYSMALLCAP100,2026-02-03
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,NIFTYSMALLCAP100,2026-02-03
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,NIFTYSMALLCAP100,2026-02-03
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,NIFTYSMALLCAP100,2026-02-03
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,NIFTYSMALLCAP100,2026-02-03
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,NIFTYSMALLCAP100,2026-02-03
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,NIFTYSMALLCAP100,2026-02-03
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,NIFTYSMALLCAP100,2026-02-03
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,NIFTYSMALLCAP100,2026-02-03
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,NIFTYSMALLCAP100,2026-02-03
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,NIFTYSMALLCAP100,2026-02-03
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,NIFTYSMALLCAP100,2026-02-03
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038,NIFTYSMALLCAP100,2026-02-03
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,NIFTYSMALLCAP100,2026-02-03
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,NIFTYSMALLCAP100,2026-02-03
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,NIFTYSMALLCAP100,2026-02-03
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,NIFTYSMALLCAP100,2026-02-03
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,NIFTYSMALLCAP100,2026-02-03
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,NIFTYSMALLCAP100,2026-02-03
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,NIFTYSMALLCAP100,2026-02-03
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,NIFTYSMALLCAP100,2026-02-03
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,NIFTYSMALLCAP100,2026-02-03
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,NIFTYSMALLCAP100,2026-02-03
